revalidation_id,change_id,case_id,decision_id,implementation_status,generalized_validator_rule_ids,notes
REV-01,CH-01,V2_KOTO_TANGAH,DEC-01/DEC-03,IMPLEMENTED,"R-CARD-01,R-REF-04,R-TMP-02,R-HRV-02","Executed against data/power_relations/migrated_v2_1/koto_tangah_destruction_cycle_relational_validation_artifact_v2_1_migrated.json (new file; original untouched, checksum unchanged). identity_continuity_status added to ACTOR_KOTOTANGAH_COASTAL_COLLECTIVE_1660_1755, formalizing its own already-existing informal continuity_status prose. Generalized validator result: PASS (0 CRITICAL/ERROR)."
REV-02,CH-01/CH-02,V3_TIKU,DEC-01/DEC-02,IMPLEMENTED,"R-CARD-01,R-REF-04,R-TMP-02,R-HRV-02","Executed against .../migrated_v2_1/tiku_..._v2_1_migrated.json. identity_continuity_status + symmetric explicit_non_identity_with added to ACTOR_TIKU_REGENTS_1684 and ACTOR_PONGELOUS_12_DESA_TICCO_1662, formalizing the artifact's own pre-existing continuity_status prose. This specific addition contributes 0 CRITICAL/ERROR findings (Tiku's overall file FAILs on a separate, pre-existing, already-disclosed Commodity-as-endpoint gap unrelated to CH-01/CH-02 -- see ATLAS_POWER_RELATION_V2_1_ARTIFACT_MIGRATION_AUDIT.md SS6)."
REV-03,CH-03,V3_TIKU,DEC-04,IMPLEMENTED,"R-SCH-03,R-VOC-01,R-VOC-06,R-REF-01,R-PROV-01,R-PROV-02,R-RO-01","Executed against the same migrated Tiku file. CommercialRight+RightModification added for the 1641 Aceh toll-exemption reconfirmation (INSTRUMENT_1641_TOLL_EXEMPTION), action=EXEMPTS. This specific addition contributes 0 CRITICAL/ERROR findings."
REV-04,CH-03,V4_SILLIDA,DEC-04,IMPLEMENTED,"R-SCH-03,R-VOC-01,R-VOC-06,R-REF-01,R-PROV-01,R-PROV-02,R-RO-01","Executed against .../migrated_v2_1/sillida_..._v2_1_migrated.json. CommercialRight+RightModification added for the 1698 salimoet relinquishment (INSTRUMENT_1698_SALIMOET_RELINQUISHMENT), action=RELEASES -- same researcher-selected structured-object direction as REV-03, per the matrix's own acceptance criteria. Generalized validator result: PASS (0 CRITICAL/ERROR)."
REV-05,CH-06,V3_TIKU,DEC-08,IMPLEMENTED,"R-CARD-02,R-REF-06,R-RO-02","Executed against the same migrated Tiku file. resistance_target_actor_id=ACTOR_ACEH_COURT added to REL_1662_SWITCHES_PONGELOUS and REL_1662_SWITCHES_SOURERADJA as a SIBLING field on the relation (not nested under resistance_candidate -- see the validator convention fix in the migration audit SS2), formalizing prose already present in each relation's own resistance_candidate value. This specific addition contributes 0 CRITICAL/ERROR findings."
REV-06,CH-07,V4_SILLIDA,DEC-09/DEC-10,IMPLEMENTED,"R-SCH-03,R-VOC-02,R-VOC-03,R-VOC-04,R-VOC-05,R-VOC-07,R-REF-02,R-REF-03,R-PROV-01,R-PROV-02,R-RO-01,R-HRV-01,R-HRV-02","Executed against the same migrated Sillida file. CommandObservation added migrating the existing OBS_CONSTRAINED_AGENCY_ARMED_ENSLAVED_COMPANY observation into the formal structured fields (coercion_status=COERCED per explicit source 'Sclaven' status; ability_to_refuse/political_intent=CANNOT_DETERMINE per the observation's own stated uncertainty). The safety-critical R-REF-03 collision check PASSES: no relation exists between the commanding/commanded actor pair, matching the original observation's own note that none was created. Generalized validator result: PASS (0 CRITICAL/ERROR)."
REV-07,CH-08,V4_SILLIDA,DEC-11,DEFERRED,"R-EXC-03","Unchanged from the prior (Phase V2.1-GV1) map entry. DEC-11 explicitly defers CH-08 pending a second confirming case. No DisputeSettlement structure was added to the Sillida migration. REV-07 must not be represented as an executed V2.1 validation; it is not."
REV-08,CH-04 (deferred),V1_NATAL,DEC-05,DEFERRED,"R-EXC-01","Unchanged. Natal's migrated copy (version-declaration only) keeps its own pre-existing ad hoc VOC_INSTITUTIONAL_HESITATION_ANNOTATION relation_type unmodeled and unmigrated -- the generalized validator correctly fails it UNAPPROVED_RELATION_TYPE, disclosed as the expected signature of this exact deferred gap, not patched around."
REV-09,CH-04 (deferred),V2_KOTO_TANGAH,DEC-06,DEFERRED,"R-EXC-01","Unchanged. Same as REV-08, mapped to Koto Tangah's own institutional-presence fact -- not addressed by this migration."
REV-10,CH-05 (no change proposed),V2_KOTO_TANGAH,DEC-07,NOT_APPLICABLE,"R-EXC-02","Unchanged. DEC-07 rejects the proposed spatial-ambiguity schema change; no Location field was added anywhere in this migration."
